1100,서울특별시,1101,종로구,종로5·6가동,소계,4130,2906,1305,1460,76,0,23,0,0,1,2,0,0,2,2869,37,1224
1100,서울특별시,1101,종로구,,관내사전투표,1327,1325,668,608,30,0,6,0,0,1,1,0,0,0,1314,11,2
1100,서울특별시,1101,종로구,,종로5·6가동제1투,1520,850,310,485,32,0,5,0,0,0,1,0,0,0,833,17,670
1100,서울특별시,1101,종로구,,종로5·6가동제2투,1283,731,327,367,14,0,12,0,0,0,0,0,0,2,722,9,552
1100,서울특별시,1101,종로구,이화동,소계,6154,4703,2279,2141,174,2,23,1,1,4,5,8,1,1,4640,63,1451
1100,서울특별시,1101,종로구,,관내사전투표,2430,2430,1347,975,74,1,5,0,0,0,2,5,0,1,2410,20,0
1100,서울특별시,1101,종로구,,이화동제1투,1960,1248,535,600,64,1,10,0,1,3,1,2,1,0,1218,30,712
1100,서울특별시,1101,종로구,,이화동제2투,1764,1025,397,566,36,0,8,1,0,1,2,1,0,0,1012,13,739
1100,서울특별시,1101,종로구,혜화동,소계,12828,9743,4400,4752,364,15,47,12,0,5,9,6,1,5,9616,127,3085
1100,서울특별시,1101,종로구,,관내사전투표,4538,4532,2357,1962,152,6,11,7,0,0,1,3,0,3,4502,30,6
1100,서울특별시,1101,종로구,,혜화동제1투,2127,1351,576,669,59,1,8,1,0,4,2,1,0,0,1321,30,776
1100,서울특별시,1101,종로구,,혜화동제2투,1921,1208,457,659,55,2,10,1,0,0,0,1,0,0,1185,23,713
1100,서울특별시,1101,종로구,,혜화동제3투,1774,1094,366,665,40,1,6,0,0,1,5,0,0,0,1084,10,680
1100,서울특별시,1101,종로구,,혜화동제4투,1263,820,320,436,33,3,7,2,0,0,1,0,1,1,804,16,443
1100,서울특별시,1101,종로구,,혜화동제5투,1205,738,324,361,25,2,5,1,0,0,0,1,0,1,720,18,467
1100,서울특별시,1101,종로구,창신제1동,소계,5152,3907,2134,1580,90,0,37,2,1,1,6,4,2,2,3859,48,1245
1100,서울특별시,1101,종로구,,관내사전투표,2369,2368,1421,844,50,0,19,2,1,0,0,3,1,1,2342,26,1
1100,서울특별시,1101,종로구,,창신제1동제1투,833,360,167,170,9,0,4,0,0,0,2,0,0,0,352,8,473
1100,서울특별시,1101,종로구,,창신제1동제2투,1950,1179,546,566,31,0,14,0,0,1,4,1,1,1,1165,14,771
1100,서울특별시,1101,종로구,창신제2동,소계,6071,4089,2262,1633,78,2,35,3,0,4,7,3,1,3,4031,58,1982
1100,서울특별시,1101,종로구,,관내사전투표,1320,1313,839,426,24,2,7,1,0,1,1,0,0,0,1301,12,7
